name,club,position,market_value,predicted_value,difference,absolute_error,difference_m,actual_m,predicted_m,difference_percent
Simon Moore,Sunderland,Goalkeeper,75000.0,194435.5270070276,119435.52700702756,119435.52700702756,0.11943552700702756,0.075,0.1944355270070276,159.2473693427034
Paddy McNair,Hull City,Defender,1500000.0,1364828.7774977223,-135171.22250227747,135171.22250227747,-0.13517122250227748,1.5,1.3648287774977224,-9.011414833485164
Jason Steele,Brighton & Hove Albion,Goalkeeper,500000.0,340949.6385952494,-159050.3614047506,159050.3614047506,-0.15905036140475062,0.5,0.3409496385952494,-31.810072280950124
Tom Heaton,Manchester United,Goalkeeper,100000.0,357525.314452568,257525.314452568,257525.314452568,0.257525314452568,0.1,0.357525314452568,257.525314452568
Ethan Pinnock,Coventry City,Defender,3000000.0,3331021.1669358937,331021.1669358937,331021.1669358937,0.33102116693589373,3.0,3.331021166935894,11.034038897863123
David Martin,Arsenal,Goalkeeper,75000.0,408102.61873593467,333102.61873593467,333102.61873593467,0.33310261873593466,0.075,0.4081026187359347,444.1368249812462
Callum Wilson,Brentford,Attack,4000000.0,4450879.669937259,450879.6699372586,450879.6699372586,0.4508796699372586,4.0,4.450879669937258,11.271991748431464
Florentino,Ipswich Town,Midfield,16000000.0,15383968.38957383,-616031.6104261708,616031.6104261708,-0.6160316104261707,16.0,15.383968389573829,-3.850197565163567
Callum Hudson-Odoi,Nottingham Forest,Attack,30000000.0,30620065.332367197,620065.332367193,620065.332367193,0.620065332367193,30.0,30.620065332367197,2.0668844412239764
Semi Ajayi,Hull City,Defender,700000.0,1342808.3090964088,642808.3090964088,642808.3090964088,0.6428083090964087,0.7,1.3428083090964087,91.82975844234412
Sean Longstaff,Leeds United,Midfield,15000000.0,15894675.233535524,894675.2335355226,894675.2335355226,0.8946752335355226,15.0,15.894675233535525,5.9645015569034845
Tyrone Mings,Aston Villa,Defender,3000000.0,3929811.865538651,929811.8655386512,929811.8655386512,0.9298118655386512,3.0,3.929811865538651,30.993728851288378
Leif Davis,Ipswich Town,Defender,20000000.0,19036341.37853277,-963658.6214672253,963658.6214672253,-0.9636586214672253,20.0,19.03634137853277,-4.818293107336126
James McConnell,Liverpool,Midfield,2000000.0,893880.9353698242,-1106119.064630176,1106119.064630176,-1.106119064630176,2.0,0.8938809353698242,-55.305953231508795
Luke Shaw,Manchester United,Defender,8000000.0,6831477.8235190855,-1168522.1764809145,1168522.1764809145,-1.1685221764809144,8.0,6.831477823519085,-14.60652720601143
Marco Bizot,Aston Villa,Goalkeeper,1500000.0,314635.5513193137,-1185364.4486806863,1185364.4486806863,-1.1853644486806862,1.5,0.3146355513193137,-79.02429657871241
Yasin Ayari,Brighton & Hove Albion,Midfield,35000000.0,33768014.35039727,-1231985.6496027336,1231985.6496027336,-1.2319856496027335,35.0,33.768014350397266,-3.5199589988649524
Jack Butland,Hull City,Goalkeeper,1500000.0,2753920.6168301697,1253920.6168301697,1253920.6168301697,1.2539206168301698,1.5,2.7539206168301695,83.59470778867798
Mathias Jensen,Brentford,Midfield,10000000.0,11389656.411516633,1389656.411516633,1389656.411516633,1.389656411516633,10.0,11.389656411516633,13.89656411516633
Kaine Kesler-Hayden,Coventry City,Defender,2200000.0,746695.0814070518,-1453304.9185929482,1453304.9185929482,-1.4533049185929483,2.2,0.7466950814070518,-66.05931448149764
Alex Palmer,Ipswich Town,Goalkeeper,900000.0,2820087.445158557,1920087.4451585573,1920087.4451585573,1.9200874451585572,0.9,2.820087445158557,213.34304946206194
Reinildo Mandava,Sunderland,Defender,4000000.0,2022525.4175958736,-1977474.5824041264,1977474.5824041264,-1.9774745824041264,4.0,2.022525417595874,-49.43686456010316
Nick Pope,Newcastle United,Goalkeeper,5000000.0,2788864.9465712905,-2211135.053428709,2211135.053428709,-2.211135053428709,5.0,2.7888649465712905,-44.22270106857418
Frank Onyeka,Coventry City,Midfield,8000000.0,10324819.81412738,2324819.81412738,2324819.81412738,2.32481981412738,8.0,10.32481981412738,29.060247676592248
Ji-soo Kim,Brentford,Defender,1800000.0,4216994.68353516,2416994.68353516,2416994.68353516,2.41699468353516,1.8,4.21699468353516,134.27748241862
Matz Sels,Nottingham Forest,Goalkeeper,3500000.0,1021603.7697282764,-2478396.230271724,2478396.230271724,-2.478396230271724,3.5,1.0216037697282765,-70.8113208649064
Dominic Calvert-Lewin,Leeds United,Attack,22000000.0,24681115.999491576,2681115.999491576,2681115.999491576,2.6811159994915763,22.0,24.681115999491578,12.186890906779892
Nico González,Newcastle United,Midfield,40000000.0,37067651.36261478,-2932348.63738522,2932348.63738522,-2.93234863738522,40.0,37.06765136261478,-7.3308715934630495
Ryan Giles,Hull City,Defender,4500000.0,7593005.433636863,3093005.433636863,3093005.433636863,3.0930054336368626,4.5,7.593005433636863,68.73345408081917
Harvey Barnes,Newcastle United,Attack,32000000.0,35306989.48556006,3306989.4855600595,3306989.4855600595,3.3069894855600594,32.0,35.30698948556006,10.334342142375185
Abdul Fatawu,Ipswich Town,Attack,20000000.0,16672810.52938455,-3327189.4706154503,3327189.4706154503,-3.3271894706154503,20.0,16.67281052938455,-16.635947353077253
Mykhaylo Mudryk,Tottenham Hotspur,Attack,18000000.0,21366756.56065051,3366756.560650509,3366756.560650509,3.3667565606505088,18.0,21.366756560650508,18.704203114725047
Michael Keane,Everton,Defender,3000000.0,6435833.014613802,3435833.0146138016,3435833.0146138016,3.4358330146138014,3.0,6.435833014613801,114.52776715379338
Bernd Leno,Fulham,Goalkeeper,6000000.0,2484913.128081335,-3515086.871918665,3515086.871918665,-3.515086871918665,6.0,2.484913128081335,-58.58478119864441
Loum Tchaouna,Coventry City,Attack,13000000.0,16539510.01759562,3539510.017595621,3539510.017595621,3.539510017595621,13.0,16.53951001759562,27.22700013535093
Dominic Solanke,Tottenham Hotspur,Attack,28000000.0,24283270.83316244,-3716729.166837562,3716729.166837562,-3.716729166837562,28.0,24.28327083316244,-13.274032738705577
Justin Kluivert,AFC Bournemouth,Midfield,25000000.0,28954373.739421044,3954373.739421044,3954373.739421044,3.954373739421044,25.0,28.954373739421044,15.817494957684175
Nicolò Savona,Nottingham Forest,Defender,15000000.0,19015994.18157717,4015994.181577172,4015994.181577172,4.015994181577172,15.0,19.015994181577167,26.773294543847815
Matty Cash,Aston Villa,Defender,22000000.0,17963523.80008152,-4036476.199918479,4036476.199918479,-4.0364761999184795,22.0,17.96352380008152,-18.34761909053854
Pau Torres,Aston Villa,Defender,20000000.0,15959809.652802788,-4040190.347197212,4040190.347197212,-4.040190347197211,20.0,15.959809652802788,-20.20095173598606
Hákon Valdimarsson,Brentford,Goalkeeper,2500000.0,7127760.210307111,4627760.210307111,4627760.210307111,4.627760210307111,2.5,7.127760210307111,185.11040841228444
Rico Henry,Brentford,Defender,13000000.0,17704095.69100808,4704095.69100808,4704095.69100808,4.70409569100808,13.0,17.70409569100808,36.18535146929292
Mats Wieffer,Brighton & Hove Albion,Defender,25000000.0,29911664.45441351,4911664.454413511,4911664.454413511,4.911664454413511,25.0,29.91166445441351,19.64665781765404
Sander Berge,Fulham,Midfield,25000000.0,19872187.369834773,-5127812.630165227,5127812.630165227,-5.127812630165227,25.0,19.872187369834773,-20.511250520660905
Djordje Petrovic,AFC Bournemouth,Goalkeeper,28000000.0,22756562.668783564,-5243437.331216436,5243437.331216436,-5.243437331216436,28.0,22.756562668783562,-18.726561897201556
Antoine Semenyo,Manchester City,Attack,80000000.0,85440415.0578956,5440415.057895601,5440415.057895601,5.440415057895601,80.0,85.4404150578956,6.800518822369502
Jørgen Strand Larsen,Crystal Palace,Attack,40000000.0,34276565.13236732,-5723434.86763268,5723434.86763268,-5.72343486763268,40.0,34.27656513236732,-14.308587169081699
Cole Palmer,Chelsea,Midfield,100000000.0,105849146.80930138,5849146.809301376,5849146.809301376,5.849146809301376,100.0,105.84914680930137,5.849146809301376
Mikkel Damsgaard,Brentford,Midfield,30000000.0,23571220.469436835,-6428779.5305631645,6428779.5305631645,-6.4287795305631645,30.0,23.571220469436835,-21.429265101877213
Nikola Milenković,Nottingham Forest,Defender,28000000.0,21343972.47870488,-6656027.521295119,6656027.521295119,-6.656027521295119,28.0,21.34397247870488,-23.771526861768283
Ismaïla Sarr,Crystal Palace,Attack,40000000.0,32521717.106711548,-7478282.893288452,7478282.893288452,-7.478282893288452,40.0,32.52171710671155,-18.695707233221132
Trai Hume,Sunderland,Defender,22000000.0,29496397.447695263,7496397.447695266,7496397.447695266,7.496397447695267,22.0,29.496397447695262,34.074533853160304
Daniel Muñoz,AFC Bournemouth,Defender,22000000.0,14333993.549183069,-7666006.450816933,7666006.450816933,-7.666006450816933,22.0,14.333993549183068,-34.8454838673497
Freddie Woodman,Liverpool,Goalkeeper,3000000.0,11635678.089048268,8635678.089048268,8635678.089048268,8.635678089048268,3.0,11.635678089048268,287.85593630160895
Marcos Senesi,Tottenham Hotspur,Defender,25000000.0,16299954.623344569,-8700045.376655431,8700045.376655431,-8.700045376655432,25.0,16.29995462334457,-34.800181506621726
Harry Wilson,Leeds United,Attack,25000000.0,16214681.809026431,-8785318.190973567,8785318.190973567,-8.785318190973566,25.0,16.21468180902643,-35.141272763894264
Jérémy Doku,Manchester City,Attack,75000000.0,65740951.712420896,-9259048.287579104,9259048.287579104,-9.259048287579104,75.0,65.7409517124209,-12.345397716772139
Oscar Bobb,Fulham,Attack,28000000.0,18594145.58316984,-9405854.41683016,9405854.41683016,-9.40585441683016,28.0,18.59414558316984,-33.592337202964856
Nicolas Jackson,Aston Villa,Attack,40000000.0,49483049.60502047,9483049.60502047,9483049.60502047,9.48304960502047,40.0,49.48304960502047,23.707624012551175
Noni Madueke,Arsenal,Attack,50000000.0,39844847.133067474,-10155152.866932526,10155152.866932526,-10.155152866932527,50.0,39.844847133067475,-20.310305733865054
Yoane Wissa,Newcastle United,Attack,25000000.0,14414495.764673045,-10585504.235326955,10585504.235326955,-10.585504235326955,25.0,14.414495764673045,-42.34201694130782
Evann Guessand,Crystal Palace,Attack,25000000.0,12674660.87568664,-12325339.12431336,12325339.12431336,-12.32533912431336,25.0,12.67466087568664,-49.30135649725344
Virgil van Dijk,Liverpool,Defender,15000000.0,2485385.101855618,-12514614.898144385,12514614.898144385,-12.514614898144385,15.0,2.485385101855618,-83.43076598762923
Cristhian Mosquera,Arsenal,Defender,40000000.0,24767945.5622243,-15232054.4377757,15232054.4377757,-15.2320544377757,40.0,24.7679455622243,-38.08013609443925
Eberechi Eze,Arsenal,Midfield,65000000.0,48276312.72943016,-16723687.270569846,16723687.270569846,-16.723687270569847,65.0,48.27631272943016,-25.72874964703053
Igor Thiago,Brentford,Attack,65000000.0,47536324.84761551,-17463675.15238449,17463675.15238449,-17.46367515238449,65.0,47.53632484761551,-26.867192542129985
Dwight McNeil,Crystal Palace,Attack,18000000.0,40897090.58879797,22897090.588797964,22897090.588797964,22.897090588797965,18.0,40.89709058879797,127.20605882665537
James Maddison,Tottenham Hotspur,Midfield,20000000.0,44586801.464171045,24586801.464171045,24586801.464171045,24.586801464171046,20.0,44.586801464171046,122.93400732085522
Rayan Aït-Nouri,Manchester City,Defender,40000000.0,65414384.05727965,25414384.057279646,25414384.057279646,25.414384057279648,40.0,65.41438405727965,63.53596014319911
William Saliba,Arsenal,Defender,100000000.0,50775221.33703674,-49224778.662963256,49224778.662963256,-49.22477866296325,100.0,50.77522133703673,-49.22477866296326
